time,beats
0.395011337,1
1.323990929,2
2.321995464,3
3.300997732,4
4.3890022669999995,1
5.429002267,2
6.522448979,3
7.640816326,4
8.811995463999999,1
9.265011337,2
9.729002267,3
10.181995464,4
10.634988662,1
11.088004535,2
11.529002267000001,3
11.958004535,4
12.410997732,1
12.863990929000002,2
13.317006802,3
13.758004535,4
14.199002267000001,1
14.651995464,2
15.105011337,3
15.557006802,4
16.01,1
16.450997732,2
16.891995464,3
17.333990929000002,4
17.774988662000002,1
18.228004535,2
18.68,3
19.121995464,4
19.562993197,1
20.01600907,2
20.468004535,3
20.91,4
21.350997732,1
21.791995464,2
22.232993197,3
22.68600907,4
23.139002267,1
23.590997731999998,2
24.043990929,3
24.497006801999998,4
24.95,1
25.390997732,2
25.831995464000002,3
26.285011336999997,4
26.738004535,1
27.190997732,2
27.642993197,3
28.09600907,4
28.537006801999997,1
28.99,2
29.430997731999998,3
29.871995464,4
30.324988662,1
30.76600907,2
31.219002266999997,3
31.671995464000002,4
32.125011337,1
32.56600907,2
33.019002267,3
33.46,4
33.912993197,1
34.36600907,2
34.818004535,3
35.259002267,4
35.711995464,1
36.152993197,2
36.594988662,3
37.03600907,4
37.477006802,1
37.93,2
38.370997732,3
38.823990929000004,4
39.277006801999995,1
39.729002267,2
40.181995464,3
40.647006802,4
41.099002266999996,1
41.54,2
41.981995464,3
42.422993197,4
42.87600907,1
43.317006802,2
43.77,3
44.210997731999996,4
44.66399092899999,1
45.104988662,2
45.557006802,3
46.01,4
46.450997732,1
46.903990928999995,2
47.357006802,3
47.81,4
48.262993197,1
48.715011337,2
49.168004535,3
49.609002267,4
50.061995464,1
50.502993196999995,2
50.945011337,3
51.397006802,4
51.861995463999996,1
52.314988662,2
52.767006802,3
53.22,4
53.672993197,1
54.12600907,2
54.578004535,3
55.02,4
55.471995463999995,1
55.91399092899999,2
56.36600907,3
56.808004535,4
57.249002267,1
57.701995464,2
58.153990928999995,3
58.59600907,4
59.048004535,1
59.489002267,2
59.930997732,3
60.371995463999994,4
60.812993197,1
61.26600907,2
61.719002267,3
62.170997732,4
62.623990928999994,1
63.064988662,2
63.518004535,3
63.970997732,4
64.423990929,1
64.877006802,2
65.32900226699999,3
65.77,4
66.222993197,1
66.67600907,2
67.129002267,3
67.581995464,4
68.033990929,1
68.487006802,2
68.94,3
69.392993197,4
69.84600907,1
70.298004535,2
70.750997732,3
71.203990929,4
71.657006802,1
72.11,2
72.56199546399999,3
73.002993197,4
73.444988662,1
73.89700680199999,2
74.339002267,3
74.80299319699999,4
75.25600907,1
75.72,2
76.172993197,3
76.62600907,4
77.07900226699999,1
77.530997732,2
77.983990929,3
78.437006802,4
78.89,1
79.342993197,2
79.807006802,3
80.26,4
80.712993197,1
81.165011337,2
81.618004535,3
82.059002267,4
82.511995464,1
82.97700680199999,2
83.429002267,3
83.881995464,4
84.334988662,1
84.77600907,2
85.229002267,3
85.681995464,4
86.12299319700001,1
86.57600907,2
87.028004535,3
87.47,4
87.92199546399999,1
88.375011337,2
88.828004535,3
89.280997732,4
89.733990929,1
90.18600907,2
90.63900226700001,3
91.091995464,4
91.545011337,1
91.997006802,2
92.45,3
92.91501133700001,4
93.367006802,1
93.831995464,2
94.284988662,3
94.73700680200001,4
95.19,1
95.64299319700001,2
96.107006802,3
96.56,4
97.01299319700001,1
97.46600907,2
97.91900226700001,3
98.370997732,4
98.82399092899999,1
99.277006802,2
99.74099773200001,3
100.193990929,4
100.647006802,1
101.1,2
101.563990929,3
102.01700680200001,4
102.47,1
102.93399092899999,2
103.387006802,3
103.84,4
104.303990929,1
104.768004535,2
105.23299319700001,3
105.673990929,4
106.114988662,1
