time,beats
0.614988662,2
1.531995464,1
2.4150113369999997,2
3.354988662,3
4.2139909289999995,4
5.131995464,1
6.013990928999999,2
6.96600907,3
7.882993197,4
8.777006802,1
9.682993197,2
10.564988662000001,3
11.43600907,4
12.318004535,1
13.223990929000001,2
14.093990929,3
14.977006802,4
15.848004535,1
16.73,2
17.600997732,3
18.470997732,4
19.353990929000002,1
20.225011337,2
21.094988662000002,3
21.978004535,4
22.837006801999998,1
23.708004535,2
24.567006801999998,1
25.460997732,2
26.355011336999997,3
27.201995464,4
28.085011336999997,1
29.037006801999997,2
29.907006801999998,3
30.79,4
31.683990929,1
32.578004535,2
33.471995464,3
34.341995464,4
35.23600907,1
36.060997732,2
36.92,3
37.801995464,4
38.730997732,1
39.567006802,2
40.390997731999995,3
41.227006802,4
42.062993197,1
42.87600907,2
43.722993197,3
44.570997731999995,4
45.407006802,1
46.253990929,2
47.112993197,1
47.960997731999996,2
48.797006802,3
49.609002267,4
50.445011337,1
51.280997731999996,2
52.129002267,3
52.952993197,4
53.789002267,1
54.612993197,2
55.438004535,3
56.25,4
57.062993197,1
57.887006801999995,2
58.7,3
59.512993197,4
60.325011337,1
61.138004535,2
61.939002267,3
62.751995464,4
63.552993197,1
64.459002267,2
65.363990929,3
66.247006802,4
67.129002267,1
68.01099773199999,2
68.881995464,3
69.752993197,4
70.622993197,1
71.482993197,2
72.307006802,3
73.16600907,4
74.037006802,1
74.872993197,2
75.709002267,3
76.568004535,4
77.403990929,1
78.262993197,2
79.13399092899999,3
80.003990929,4
80.851995464,1
81.710997732,2
82.559002267,3
83.393990929,4
84.23,1
85.078004535,2
85.913990929,3
86.727006802,4
87.56199546399999,1
88.387006802,2
89.21099773200001,1
90.04700680200001,2
90.870997732,3
91.69600907,4
92.508004535,1
93.33299319700001,2
94.144988662,3
94.958004535,4
95.77099773200001,1
96.58299319700001,2
97.408004535,3
98.22,4
99.03299319700001,1
99.84600907,2
100.658004535,3
101.448004535,4
102.260997732,1
103.05,2
103.86299319700001,3
104.663990929,4
105.465011337,1
106.253990929,2
107.06700680200001,3
107.857006802,4
108.66900226700001,1
109.459002267,2
110.248004535,3
111.060997732,4
111.861995464,1
112.651995464,2
113.44099773200001,3
114.230997732,4
115.02,1
115.83299319700001,2
116.621995464,3
117.411995464,4
118.16600907,1
