0,1,2,3,4
0.0,13.392000000000001,,intro,
13.392000000000001,38.821,,verse,
38.821,52.048,,refrain,
52.048,78.485,,verse,
78.485,91.94200000000001,,refrain,
91.94200000000001,105.21700000000001,,refrain,
105.21700000000001,119.19200000000001,,coda,
119.19200000000001,146.724,,verse_(instrumental),
146.724,160.90200000000002,,refrain,
160.90200000000002,188.725,,verse,
188.725,202.59799999999998,,refrain,
202.59799999999998,216.549,,refrain,
216.549,241.5,,coda/outro,
241.5,243.30700000000002,,silence,
